Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN04629,3,0,2,3,meal_plan_2,0,room_type1,28,8/13/2018,offline,0,0,0,194.8,0,not_canceled
INN04630,2,0,1,2,meal_plan_1,0,room_type1,49,3/7/2018,online,0,0,0,78.3,0,canceled
INN04631,2,0,0,2,meal_plan_1,1,room_type1,13,10/28/2017,online,0,0,0,135,1,not_canceled
INN04632,2,0,1,3,meal_plan_2,0,room_type1,46,12/5/2018,offline,0,0,0,98,0,not_canceled
INN04633,2,0,1,3,meal_plan_1,0,room_type4,26,10/19/2017,offline,0,0,0,75,1,not_canceled
INN04634,1,0,0,1,not_selected,0,room_type1,62,5/19/2018,online,0,0,0,116.1,0,not_canceled
INN04635,1,0,0,1,meal_plan_1,0,room_type1,53,10/14/2018,offline,0,0,0,120,0,not_canceled
INN04636,3,0,1,3,meal_plan_1,0,room_type4,117,6/16/2018,online,0,0,0,150.45,0,canceled
INN04637,2,0,0,2,meal_plan_1,0,room_type1,64,11/20/2017,online,0,0,0,79.2,2,not_canceled
INN04638,2,0,1,0,not_selected,0,room_type1,23,9/12/2018,online,0,0,0,68.53,1,not_canceled
INN04639,2,0,1,2,meal_plan_2,0,room_type1,161,3/25/2018,online,0,0,0,130,0,canceled
INN04640,1,0,0,2,meal_plan_1,0,room_type4,2,9/30/2018,online,0,0,0,205,2,not_canceled
INN04641,2,0,1,0,not_selected,0,room_type1,0,12/5/2018,online,0,0,0,88,0,not_canceled
INN04642,3,0,2,1,meal_plan_1,0,room_type4,86,10/2/2018,online,0,0,0,151.2,2,not_canceled
INN04643,1,0,1,0,meal_plan_1,0,room_type4,11,4/10/2018,corporate,0,0,0,90,1,not_canceled
INN04644,2,0,0,4,meal_plan_1,0,room_type4,67,10/19/2018,online,0,0,0,117.6,0,canceled
INN04645,2,0,0,1,meal_plan_1,0,room_type1,8,11/5/2018,offline,0,0,0,130,0,not_canceled
INN04646,2,0,1,3,meal_plan_1,0,room_type1,75,4/25/2018,offline,0,0,0,75,0,not_canceled
INN04647,2,0,0,2,meal_plan_2,0,room_type1,320,8/18/2018,online,0,0,0,115,1,canceled
INN04648,2,0,0,1,meal_plan_1,0,room_type1,105,4/6/2018,online,0,0,0,75,0,canceled
INN04649,2,0,2,0,meal_plan_1,0,room_type1,1,8/23/2017,online,0,0,0,98,2,not_canceled
INN04650,3,0,2,1,meal_plan_1,0,room_type4,79,5/14/2018,online,0,0,0,159.3,0,canceled
INN04651,2,0,1,2,meal_plan_1,0,room_type1,273,6/24/2018,online,0,0,0,94.5,0,canceled
INN04652,3,0,2,2,meal_plan_1,0,room_type1,31,10/24/2017,online,0,0,0,120.42,1,not_canceled
INN04653,2,0,2,0,meal_plan_1,0,room_type1,1,9/11/2018,offline,1,1,0,105,1,not_canceled
INN04654,2,0,2,1,meal_plan_1,0,room_type1,276,11/13/2018,online,0,0,0,60.29,3,not_canceled
INN04655,3,0,0,4,meal_plan_1,0,room_type4,46,11/2/2018,online,0,0,0,122.4,2,not_canceled
INN04656,2,0,0,2,meal_plan_2,0,room_type1,257,7/1/2017,online,0,0,0,101.5,0,canceled
INN04657,2,0,0,5,meal_plan_1,0,room_type1,230,9/6/2018,online,0,0,0,137,1,canceled
INN04658,2,0,0,3,meal_plan_1,0,room_type1,131,8/3/2018,offline,0,0,0,87.03,3,not_canceled
INN04659,2,0,0,2,meal_plan_1,0,room_type1,62,11/4/2018,online,0,0,0,97.2,1,not_canceled
INN04660,2,2,0,2,meal_plan_1,0,room_type6,89,7/21/2018,online,0,0,0,186.3,0,canceled
INN04661,2,0,1,1,meal_plan_1,0,room_type1,174,10/10/2017,online,0,0,0,70,0,canceled
INN04662,2,0,0,3,not_selected,0,room_type1,50,6/29/2018,online,0,0,0,107.1,0,canceled
INN04663,2,0,2,3,meal_plan_1,0,room_type1,22,9/4/2017,online,0,0,0,75.6,0,not_canceled
INN04664,3,0,2,2,meal_plan_1,0,room_type5,2,12/24/2018,online,0,0,0,110.5,1,not_canceled
INN04665,2,0,2,3,not_selected,0,room_type1,15,3/13/2018,online,0,0,0,63.6,0,canceled
INN04666,2,0,1,4,not_selected,0,room_type1,174,7/13/2018,online,0,0,0,80.75,0,canceled
INN04667,2,0,0,3,meal_plan_1,0,room_type1,136,6/28/2018,online,0,0,0,96.3,0,canceled
INN04668,2,2,0,1,meal_plan_1,1,room_type6,238,6/18/2018,online,0,0,0,178.2,1,canceled
INN04669,2,0,2,1,meal_plan_2,0,room_type1,7,12/26/2017,offline,0,0,0,98.6,2,not_canceled
INN04670,2,0,0,3,not_selected,0,room_type1,101,2/18/2018,online,0,0,0,69.5,1,not_canceled
INN04671,1,2,1,2,meal_plan_1,0,room_type6,28,5/20/2018,online,0,0,0,207.63,2,not_canceled
INN04672,1,0,1,0,meal_plan_1,0,room_type1,45,4/10/2018,corporate,1,1,6,65,0,canceled
INN04673,1,0,0,3,meal_plan_1,0,room_type4,40,3/1/2018,online,0,0,0,88.5,0,canceled
INN04674,2,0,0,3,meal_plan_1,0,room_type1,204,5/5/2018,online,0,0,0,100,0,canceled
INN04675,2,0,2,2,meal_plan_1,0,room_type1,141,5/15/2018,online,0,0,0,104.55,2,not_canceled
INN04676,2,0,0,2,not_selected,0,room_type1,63,6/17/2018,online,0,0,0,116.1,0,canceled
INN04677,1,0,1,2,meal_plan_1,0,room_type1,118,6/6/2018,offline,0,0,0,110,0,not_canceled
INN04678,2,0,1,2,meal_plan_2,0,room_type1,315,9/30/2018,online,0,0,0,160,0,canceled
INN04679,2,0,2,6,not_selected,0,room_type1,176,7/5/2018,online,0,0,0,80.75,1,not_canceled
INN04680,2,0,0,1,not_selected,0,room_type1,35,6/21/2018,online,0,0,0,89.1,1,canceled
INN04681,2,0,0,2,meal_plan_1,0,room_type1,308,11/25/2018,online,0,0,0,52,0,canceled
INN04682,2,0,1,2,meal_plan_1,0,room_type1,215,8/8/2018,online,0,0,0,96.3,1,canceled
INN04683,2,0,0,3,meal_plan_1,0,room_type1,328,9/29/2018,online,0,0,0,95.4,0,canceled
INN04684,2,0,0,2,meal_plan_1,0,room_type1,15,8/30/2018,online,0,0,0,117,2,not_canceled
INN04685,2,0,2,0,meal_plan_1,0,room_type1,0,8/23/2017,online,0,0,0,98,0,not_canceled
INN04686,2,0,0,3,not_selected,0,room_type1,179,8/23/2018,online,0,0,0,91.5,0,canceled
INN04687,2,0,2,5,meal_plan_1,0,room_type1,16,6/30/2018,online,0,0,0,151,1,not_canceled
INN04688,2,0,2,2,meal_plan_1,0,room_type4,73,12/25/2018,online,0,0,0,96.9,1,not_canceled
INN04689,2,0,0,3,meal_plan_1,0,room_type1,44,2/17/2018,offline,0,0,0,75,0,not_canceled
INN04690,2,0,0,3,meal_plan_1,0,room_type4,85,9/8/2018,online,0,0,0,149.4,3,not_canceled
INN04691,2,0,0,2,meal_plan_1,0,room_type1,36,3/29/2018,offline,0,0,0,67.32,1,not_canceled
INN04692,2,0,1,1,meal_plan_1,0,room_type1,38,12/5/2018,complementary,0,0,0,0,1,not_canceled
INN04693,2,0,0,4,meal_plan_1,0,room_type4,47,9/7/2018,online,0,0,0,139.95,0,not_canceled
INN04694,2,1,1,1,meal_plan_1,0,room_type1,8,8/13/2018,online,0,0,0,159.5,0,not_canceled
INN04695,2,2,1,0,not_selected,0,room_type6,35,12/28/2017,online,0,0,0,150.3,1,not_canceled
INN04696,2,0,1,0,meal_plan_1,0,room_type1,122,7/13/2017,online,0,0,0,76.5,2,canceled
INN04697,3,0,2,2,meal_plan_1,0,room_type4,84,8/5/2018,online,0,0,0,150.3,1,not_canceled
INN04698,2,0,0,2,meal_plan_1,0,room_type4,60,9/2/2018,online,0,0,0,123.3,0,canceled
INN04699,2,0,2,5,meal_plan_1,0,room_type1,40,8/28/2018,online,0,0,0,100.16,0,not_canceled
INN04700,1,0,1,0,meal_plan_1,0,room_type1,25,9/12/2018,online,0,0,0,108,2,not_canceled
INN04701,1,0,1,2,meal_plan_1,0,room_type1,118,6/6/2018,offline,0,0,0,110,0,not_canceled
INN04702,2,0,0,2,meal_plan_2,0,room_type1,320,8/18/2018,online,0,0,0,115,1,canceled
INN04703,2,0,2,2,meal_plan_1,0,room_type1,20,5/29/2018,online,0,0,0,90.86,1,not_canceled
INN04704,2,0,0,3,meal_plan_1,0,room_type1,59,10/29/2017,online,0,0,0,72.25,2,not_canceled
INN04705,3,0,0,2,meal_plan_1,0,room_type4,85,10/7/2018,online,0,0,0,151.2,1,not_canceled
INN04706,2,0,0,3,meal_plan_1,0,room_type1,55,3/22/2018,online,0,0,0,99,1,canceled
INN04707,2,0,0,4,not_selected,0,room_type1,106,4/27/2018,online,0,0,0,85,0,canceled
INN04708,2,0,1,2,meal_plan_2,0,room_type1,161,3/25/2018,online,0,0,0,130,0,canceled
INN04709,2,0,2,1,meal_plan_1,0,room_type1,118,4/3/2018,online,0,0,0,87.3,1,canceled
INN04710,1,0,0,1,meal_plan_1,0,room_type1,9,10/1/2017,corporate,0,0,0,65,0,not_canceled
INN04711,3,0,0,1,meal_plan_1,0,room_type5,12,8/30/2018,offline,0,0,0,138,0,not_canceled
INN04712,2,0,1,3,meal_plan_1,0,room_type1,152,5/2/2018,online,0,0,0,76.58,1,canceled
INN04713,2,1,1,0,meal_plan_1,0,room_type1,3,4/24/2018,online,0,0,0,119,2,not_canceled
INN04714,1,0,0,3,meal_plan_2,0,room_type1,71,5/10/2018,offline,0,0,0,98,0,not_canceled
INN04715,2,0,0,3,not_selected,0,room_type1,5,10/18/2018,online,0,0,0,112,0,not_canceled
INN04716,2,0,2,1,meal_plan_1,0,room_type1,15,5/7/2018,online,0,0,0,93.17,0,not_canceled
INN04717,3,0,1,1,meal_plan_2,1,room_type4,67,4/30/2018,online,0,0,0,219.6,2,not_canceled
INN04718,2,0,0,2,meal_plan_1,0,room_type1,317,9/15/2018,online,0,0,0,120,0,canceled
INN04719,1,0,2,1,meal_plan_1,0,room_type1,183,7/16/2018,online,0,0,0,90.9,1,not_canceled
INN04720,2,1,1,3,meal_plan_1,0,room_type1,278,11/28/2018,online,0,0,0,89.25,0,canceled
INN04721,2,0,0,1,not_selected,0,room_type1,181,8/25/2018,online,0,0,0,85.5,0,canceled
INN04722,2,0,0,4,meal_plan_1,0,room_type1,180,10/26/2018,online,0,0,0,66.49,2,not_canceled
INN04723,2,0,2,3,meal_plan_1,0,room_type1,168,4/21/2018,offline,0,0,0,81.2,1,not_canceled
INN04724,2,0,0,1,not_selected,0,room_type1,1,9/22/2018,online,0,0,0,129.56,0,not_canceled
INN04725,2,2,0,4,meal_plan_1,0,room_type6,33,10/6/2017,online,0,0,0,159.75,2,canceled
INN04726,2,0,0,3,meal_plan_1,0,room_type1,42,12/31/2017,offline,0,0,0,118,0,not_canceled
INN04727,1,0,2,0,meal_plan_2,0,room_type1,0,10/25/2017,offline,0,0,0,83.5,0,not_canceled
INN04728,1,0,2,4,meal_plan_1,0,room_type1,245,7/6/2018,online,0,0,0,110,0,canceled
INN04729,2,1,1,0,meal_plan_1,0,room_type1,163,8/1/2018,online,0,0,0,121.5,3,not_canceled
INN04730,3,0,0,1,meal_plan_1,0,room_type4,1,5/20/2018,online,0,0,0,197,0,not_canceled
INN04731,2,0,2,2,meal_plan_1,0,room_type4,71,10/7/2018,online,0,0,0,101.87,0,canceled
INN04732,1,0,0,2,meal_plan_1,0,room_type1,19,6/22/2018,corporate,0,0,0,90,0,not_canceled
INN04733,2,0,0,1,not_selected,0,room_type1,0,6/1/2018,online,0,0,0,116.1,1,not_canceled
INN04734,2,0,0,3,meal_plan_1,0,room_type1,82,7/16/2017,online,0,0,0,76.5,0,canceled
INN04735,2,2,0,1,meal_plan_1,0,room_type2,4,6/16/2018,online,0,0,0,263.55,0,canceled
INN04736,2,0,0,5,meal_plan_1,0,room_type1,129,8/9/2018,online,0,0,0,83.61,2,not_canceled
INN04737,2,0,2,5,meal_plan_1,0,room_type4,80,7/4/2018,offline,0,0,0,82.45,0,not_canceled
INN04738,1,0,0,2,meal_plan_2,0,room_type1,265,6/24/2018,offline,0,0,0,90,0,not_canceled
INN04739,2,0,1,4,meal_plan_2,1,room_type1,189,8/15/2018,online,0,0,0,106.75,1,canceled
INN04740,2,0,0,1,meal_plan_1,0,room_type1,2,10/13/2018,offline,0,0,0,95,0,not_canceled
INN04741,2,0,0,3,meal_plan_1,0,room_type4,130,9/29/2018,online,0,0,0,139.5,2,canceled
INN04742,1,0,0,1,meal_plan_1,0,room_type1,23,6/15/2018,online,0,0,0,119.85,0,canceled
INN04743,2,0,1,2,meal_plan_1,0,room_type1,186,4/22/2018,offline,0,0,0,80,0,not_canceled
INN04744,1,0,0,2,meal_plan_1,1,room_type1,2,3/31/2018,corporate,1,0,5,67,0,not_canceled
INN04745,2,1,1,2,meal_plan_1,0,room_type1,141,8/22/2018,online,0,0,0,94.56,0,not_canceled
INN04746,2,0,0,2,meal_plan_1,0,room_type2,47,11/5/2017,online,0,0,0,105.5,1,not_canceled
INN04747,2,2,0,2,meal_plan_1,1,room_type2,169,8/18/2018,online,0,0,0,212.86,2,canceled
INN04748,1,0,2,4,meal_plan_1,0,room_type1,69,6/12/2018,online,0,0,0,120,0,canceled
INN04749,2,0,0,2,meal_plan_2,0,room_type1,346,9/13/2018,online,0,0,0,115,1,canceled
INN04750,2,1,2,5,meal_plan_1,0,room_type1,150,9/18/2018,online,0,0,0,91.12,0,not_canceled
INN04751,2,0,0,2,meal_plan_2,0,room_type1,0,8/14/2017,offline,0,0,0,109,0,not_canceled
INN04752,2,0,0,1,not_selected,0,room_type1,225,11/25/2018,online,0,0,0,67.5,0,canceled
INN04753,2,0,3,6,meal_plan_1,0,room_type1,109,7/18/2018,online,0,0,0,72.25,0,canceled
INN04754,2,0,0,3,meal_plan_1,0,room_type1,44,2/17/2018,offline,0,0,0,75,0,not_canceled
INN04755,2,0,0,3,meal_plan_1,0,room_type1,433,9/8/2018,online,0,0,0,70,0,canceled
INN04756,2,0,0,2,meal_plan_1,1,room_type1,111,8/11/2018,online,0,0,0,123.3,0,not_canceled
INN04757,2,0,0,4,meal_plan_1,0,room_type1,3,10/7/2017,offline,0,0,0,70,0,not_canceled
INN04758,2,0,2,1,meal_plan_1,0,room_type1,13,10/9/2018,online,0,0,0,177.62,1,not_canceled
INN04759,2,0,1,1,meal_plan_1,0,room_type4,1,2/27/2018,online,0,0,0,117,0,not_canceled
INN04760,1,0,0,1,meal_plan_1,0,room_type1,0,10/13/2017,corporate,0,0,0,65,0,not_canceled
INN04761,1,0,1,2,meal_plan_1,0,room_type1,57,6/10/2018,offline,0,0,0,75.33,1,not_canceled
INN04762,2,0,1,3,meal_plan_1,0,room_type4,14,9/26/2018,online,0,0,0,164,1,canceled
INN04763,2,0,1,1,not_selected,0,room_type1,145,8/1/2018,online,0,0,0,94.5,0,not_canceled
INN04764,2,0,2,4,meal_plan_1,0,room_type6,73,5/7/2018,online,0,0,0,170.17,0,canceled
INN04765,2,0,2,1,meal_plan_2,0,room_type1,145,8/29/2017,offline,0,0,0,94.5,0,not_canceled
INN04766,0,2,1,3,meal_plan_1,0,room_type2,147,4/4/2018,online,0,0,0,6,1,not_canceled
INN04767,2,0,0,1,meal_plan_1,0,room_type1,38,10/13/2017,offline,0,0,0,84,0,not_canceled
INN04768,2,1,0,1,meal_plan_1,0,room_type1,6,12/31/2017,offline,0,0,0,77.5,0,not_canceled
INN04769,2,0,1,2,meal_plan_1,0,room_type1,126,7/25/2018,online,0,0,0,77.03,1,not_canceled
INN04770,2,0,0,2,meal_plan_2,0,room_type1,74,9/18/2017,offline,0,0,0,109,0,not_canceled
INN04771,2,0,0,1,meal_plan_1,0,room_type1,0,10/21/2017,online,0,0,0,145,0,not_canceled
INN04772,2,0,0,2,meal_plan_2,0,room_type1,377,10/14/2018,online,0,0,0,115,1,canceled
INN04773,2,0,2,2,not_selected,0,room_type1,3,10/28/2018,online,0,0,0,130,2,not_canceled
INN04774,2,0,0,2,meal_plan_1,0,room_type4,62,10/16/2017,online,0,0,0,78.54,0,not_canceled
INN04775,2,0,1,2,meal_plan_1,0,room_type1,76,3/25/2018,online,0,0,0,59.5,0,canceled
INN04776,1,0,2,1,meal_plan_1,0,room_type1,1,2/28/2018,online,0,0,0,60,0,canceled
INN04777,2,0,0,2,meal_plan_1,0,room_type1,30,6/2/2018,offline,0,0,0,140,0,not_canceled
INN04778,2,0,1,2,meal_plan_1,0,room_type1,24,12/2/2018,offline,0,0,0,80,0,not_canceled
INN04779,2,0,0,1,meal_plan_1,1,room_type1,20,8/5/2018,online,0,0,0,12,1,not_canceled
INN04780,2,0,1,2,meal_plan_1,0,room_type4,35,10/26/2017,offline,0,0,0,75,1,not_canceled
INN04781,1,0,0,2,meal_plan_1,0,room_type1,1,8/4/2017,corporate,0,0,0,65,0,not_canceled
INN04782,1,0,0,3,meal_plan_1,0,room_type1,166,11/1/2018,online,0,0,0,110,0,canceled
INN04783,2,0,1,4,meal_plan_2,0,room_type1,137,8/17/2017,offline,0,0,0,83.47,0,not_canceled
INN04784,2,0,2,4,meal_plan_1,0,room_type1,46,8/28/2018,online,0,0,0,81.31,0,not_canceled
INN04785,2,0,2,2,meal_plan_2,0,room_type1,169,4/22/2018,online,0,0,0,106,0,canceled
INN04786,2,0,1,1,meal_plan_1,0,room_type1,188,8/13/2018,online,0,0,0,105.3,0,canceled
INN04787,1,0,1,0,not_selected,0,room_type5,3,9/26/2018,online,0,0,0,195,0,not_canceled
INN04788,2,0,0,3,meal_plan_1,0,room_type1,103,5/4/2018,offline,0,0,0,80,0,not_canceled
INN04789,1,0,1,2,meal_plan_1,0,room_type4,9,4/8/2018,online,0,0,0,131.33,1,not_canceled
INN04790,1,0,1,2,meal_plan_1,0,room_type4,29,5/20/2018,online,0,0,0,139.6,0,canceled
INN04791,2,0,0,2,meal_plan_1,1,room_type1,48,2/23/2018,online,0,0,0,89.3,1,not_canceled
INN04792,1,0,2,2,meal_plan_1,0,room_type1,115,2/27/2018,online,0,0,0,60,0,canceled
INN04793,2,2,2,2,meal_plan_1,0,room_type6,80,10/28/2018,online,0,0,0,160.65,1,canceled
INN04794,1,0,0,2,meal_plan_1,0,room_type1,14,9/15/2017,online,0,0,0,114,1,not_canceled
INN04795,2,0,2,2,meal_plan_1,0,room_type1,116,3/25/2018,online,0,0,0,59.5,0,canceled
INN04796,2,0,2,1,meal_plan_1,0,room_type1,23,6/18/2018,online,0,0,0,95.83,1,not_canceled
INN04797,3,0,0,2,meal_plan_1,0,room_type4,36,7/20/2018,online,0,0,0,159.3,2,not_canceled
INN04798,2,0,0,3,meal_plan_1,0,room_type1,204,5/5/2018,online,0,0,0,100,0,canceled
INN04799,2,0,0,3,meal_plan_1,0,room_type1,183,9/8/2018,online,0,0,0,110,1,canceled
INN04800,2,0,2,1,meal_plan_1,0,room_type1,202,5/29/2018,online,0,0,0,90,0,canceled
INN04801,2,0,0,4,not_selected,0,room_type1,15,12/28/2018,online,0,0,0,102,2,not_canceled
INN04802,2,0,0,2,meal_plan_1,0,room_type1,27,9/30/2017,offline,0,0,0,108,0,not_canceled
INN04803,2,0,0,2,meal_plan_1,0,room_type1,79,11/13/2017,offline,0,0,0,75,0,not_canceled
INN04804,2,0,1,3,meal_plan_1,0,room_type1,47,3/21/2018,online,0,0,0,93.5,1,not_canceled
INN04805,2,0,0,3,meal_plan_1,0,room_type1,119,9/22/2018,online,0,0,0,129.6,2,not_canceled
INN04806,2,0,2,1,not_selected,0,room_type1,25,10/25/2017,online,0,0,0,114,1,not_canceled
INN04807,1,0,0,3,meal_plan_1,0,room_type1,12,8/5/2017,corporate,0,0,0,60,0,not_canceled
INN04808,1,0,1,1,not_selected,0,room_type1,251,11/21/2018,online,0,0,0,73.35,1,not_canceled
INN04809,2,0,1,2,meal_plan_1,0,room_type4,4,11/6/2017,offline,0,0,0,78.2,0,not_canceled
INN04810,1,0,0,1,meal_plan_1,0,room_type1,3,5/19/2018,offline,1,0,11,45,2,not_canceled
INN04811,2,0,0,3,not_selected,0,room_type1,8,1/13/2018,online,0,0,0,69.5,0,not_canceled
INN04812,2,0,2,1,meal_plan_1,0,room_type1,239,10/23/2018,online,0,0,0,96.3,0,canceled
INN04813,1,0,0,3,meal_plan_1,0,room_type1,113,5/31/2018,corporate,0,0,0,100,0,canceled
INN04814,2,0,2,3,meal_plan_1,0,room_type4,44,11/5/2017,offline,0,0,0,60,0,not_canceled
INN04815,2,0,0,2,meal_plan_1,0,room_type1,317,9/15/2018,online,0,0,0,120,0,canceled
INN04816,0,2,0,2,meal_plan_1,0,room_type2,195,12/2/2018,online,0,0,0,71.22,0,canceled
INN04817,2,0,0,3,meal_plan_1,0,room_type1,71,6/28/2018,online,0,0,0,86.25,1,not_canceled
INN04818,2,0,0,2,meal_plan_2,0,room_type1,377,10/14/2018,online,0,0,0,115,1,canceled
INN04819,2,0,2,3,meal_plan_1,0,room_type1,166,7/7/2018,online,0,0,0,99.45,0,canceled
INN04820,3,0,0,2,meal_plan_1,0,room_type4,141,9/23/2018,online,0,0,0,163.8,1,not_canceled
INN04821,1,0,0,1,meal_plan_1,0,room_type1,96,4/8/2018,online,0,0,0,90.9,1,canceled
INN04822,2,0,2,3,meal_plan_1,0,room_type1,60,9/12/2017,online,0,0,0,98.94,1,not_canceled
INN04823,3,0,0,2,meal_plan_1,0,room_type1,67,11/25/2018,offline,0,0,0,105,0,not_canceled
INN04824,2,0,0,3,not_selected,0,room_type1,184,11/24/2018,online,0,0,0,69.9,0,canceled
INN04825,2,0,1,2,meal_plan_1,0,room_type1,35,10/16/2017,online,0,0,0,108.9,0,not_canceled
INN04826,1,0,0,2,meal_plan_1,0,room_type1,172,6/24/2018,online,0,0,0,95,0,canceled
INN04827,2,0,2,1,meal_plan_1,0,room_type1,76,6/19/2018,online,0,0,0,126.9,2,not_canceled
INN04828,2,0,0,1,not_selected,0,room_type1,9,5/18/2018,online,0,0,0,129,0,not_canceled
INN04829,1,0,1,3,meal_plan_1,0,room_type1,3,10/10/2018,corporate,1,4,47,65,1,not_canceled
INN04830,2,0,1,4,not_selected,0,room_type4,56,12/30/2017,online,0,0,0,105.75,2,not_canceled
INN04831,2,0,1,2,meal_plan_1,0,room_type1,98,9/16/2018,offline,0,0,0,80.75,0,not_canceled
INN04832,2,0,0,1,meal_plan_1,0,room_type1,2,8/12/2017,corporate,0,0,0,65,0,not_canceled
INN04833,2,1,0,2,meal_plan_1,0,room_type1,4,10/14/2018,complementary,1,0,7,0,1,not_canceled
INN04834,3,0,0,3,meal_plan_1,0,room_type4,69,7/27/2018,online,0,0,0,137.7,2,not_canceled
INN04835,2,0,2,2,meal_plan_1,0,room_type1,40,8/5/2018,online,0,0,0,125.1,1,not_canceled
INN04836,2,0,0,3,meal_plan_1,0,room_type1,44,2/17/2018,offline,0,0,0,75,0,not_canceled
INN04837,2,0,0,3,meal_plan_1,0,room_type1,113,5/31/2018,offline,0,0,0,95,0,not_canceled
INN04838,1,0,0,3,not_selected,0,room_type1,65,9/27/2018,online,0,0,0,125.1,1,not_canceled
INN04839,3,0,2,2,meal_plan_1,0,room_type7,22,4/16/2018,online,0,0,0,190.58,0,canceled
INN04840,2,0,0,1,meal_plan_1,0,room_type1,185,8/30/2018,online,0,0,0,96.3,0,canceled
INN04841,2,0,1,1,not_selected,0,room_type1,147,7/11/2018,online,0,0,0,99,0,not_canceled
INN04842,2,0,0,2,meal_plan_1,0,room_type4,61,12/2/2018,online,0,0,0,102.6,2,not_canceled
INN04843,2,0,0,1,meal_plan_1,0,room_type2,1,12/19/2017,online,0,0,0,77.25,0,not_canceled
INN04844,2,0,1,2,meal_plan_1,0,room_type1,25,10/17/2018,offline,0,0,0,85,0,not_canceled
INN04845,2,0,1,2,meal_plan_2,0,room_type1,161,3/25/2018,online,0,0,0,130,0,canceled
INN04846,3,0,0,1,meal_plan_1,0,room_type4,0,11/14/2017,online,0,0,0,107,2,not_canceled
INN04847,2,0,0,3,meal_plan_1,0,room_type1,204,5/5/2018,online,0,0,0,100,0,canceled
INN04848,2,0,0,2,meal_plan_2,0,room_type1,39,8/14/2017,offline,0,0,0,109,0,not_canceled
INN04849,2,0,1,1,meal_plan_1,0,room_type1,1,4/16/2018,online,0,0,0,77.77,1,not_canceled
INN04850,2,0,0,2,meal_plan_1,0,room_type1,317,9/15/2018,online,0,0,0,120,0,canceled
INN04851,1,0,0,1,meal_plan_1,0,room_type1,23,10/26/2018,offline,0,0,0,95,0,not_canceled
INN04852,1,0,1,2,meal_plan_1,1,room_type1,0,11/9/2017,online,0,0,0,100,1,not_canceled
INN04853,2,0,0,1,not_selected,0,room_type1,126,12/20/2018,online,0,0,0,79.2,1,not_canceled
INN04854,2,0,0,1,meal_plan_1,0,room_type1,21,4/28/2018,offline,0,0,0,95,0,not_canceled
INN04855,2,0,2,3,meal_plan_1,0,room_type1,19,12/5/2017,online,1,1,0,69,0,not_canceled
INN04856,2,0,0,1,meal_plan_1,0,room_type1,7,6/23/2018,online,0,0,0,91,1,canceled
INN04857,2,0,1,0,meal_plan_1,0,room_type1,258,10/16/2018,online,0,0,0,110,0,canceled
INN04858,2,0,0,1,meal_plan_1,0,room_type1,105,4/6/2018,online,0,0,0,75,0,canceled
INN04859,3,0,0,2,meal_plan_1,0,room_type4,72,4/13/2018,online,0,0,0,137.7,2,not_canceled
INN04860,2,0,2,2,meal_plan_1,0,room_type1,12,7/9/2018,offline,0,0,0,85,0,not_canceled
INN04861,2,0,0,4,meal_plan_1,0,room_type1,178,8/24/2018,online,0,0,0,93.08,1,not_canceled
INN04862,3,0,2,5,meal_plan_1,0,room_type1,120,9/11/2018,online,0,0,0,129.81,1,not_canceled
INN04863,2,0,0,1,not_selected,0,room_type1,34,12/16/2018,online,0,0,0,88,2,not_canceled
INN04864,3,0,2,3,meal_plan_1,0,room_type6,69,10/16/2018,online,0,0,0,139.57,1,not_canceled
INN04865,1,0,1,2,meal_plan_1,0,room_type1,2,11/28/2018,corporate,1,5,53,65,2,not_canceled
INN04866,1,0,0,1,meal_plan_1,0,room_type1,2,12/14/2018,corporate,1,0,1,79,1,not_canceled
INN04867,2,0,2,5,meal_plan_1,0,room_type1,198,9/27/2018,online,0,0,0,112.56,1,canceled
INN04868,2,0,1,1,meal_plan_1,0,room_type1,159,4/9/2018,offline,0,0,0,70,1,not_canceled
INN04869,2,0,1,1,meal_plan_2,0,room_type4,9,2/22/2018,offline,0,0,0,86.8,0,not_canceled
INN04870,1,0,0,1,meal_plan_1,0,room_type1,1,8/4/2018,online,0,0,0,115,0,not_canceled
INN04871,2,0,1,1,not_selected,0,room_type1,175,7/23/2018,online,0,0,0,85.5,2,not_canceled
INN04872,2,0,0,2,meal_plan_1,0,room_type1,3,9/4/2017,online,0,0,0,143,1,not_canceled
INN04873,2,0,3,8,meal_plan_1,0,room_type4,57,8/29/2018,online,0,0,0,123.55,0,canceled
INN04874,2,0,2,5,meal_plan_1,0,room_type1,12,11/13/2018,online,0,0,0,89.25,3,not_canceled
INN04875,2,0,0,1,meal_plan_1,0,room_type4,20,5/21/2018,online,0,0,0,156,1,not_canceled
INN04876,1,0,0,1,meal_plan_1,0,room_type1,2,10/27/2018,corporate,0,0,0,75,0,not_canceled
INN04877,2,0,0,2,meal_plan_1,0,room_type4,82,5/17/2018,online,0,0,0,149.4,0,not_canceled
INN04878,2,0,0,2,meal_plan_1,0,room_type4,2,4/20/2018,aviation,0,0,0,110,0,not_canceled
